country_code,num_confirmed_interference,num_anomaly,num_no_confirmed_interference,strict_rate,loose_rate
AD,0,0,48,0.0,0.0
AE,892,2083,18966,0.04491892436297714,0.149813677107463
AF,0,46,1685,0.0,0.027299703264094956
AG,0,2,80,0.0,0.025
AI,0,0,35,0.0,0.0
AL,0,67,6011,0.0,0.011146231908168358
AM,0,9,2941,0.0,0.003060183611016661
AO,0,5,3099,0.0,0.0016134236850596966
AP,0,0,32,0.0,0.0
AR,0,35893,567399,0.0,0.0632588354931891
AT,0,9079,739568,0.0,0.012276085498561322
AU,0,71616,1425838,0.0,0.050227304925243965
AW,0,0,46,0.0,0.0
AX,0,0,8,0.0,0.0
AZ,0,44,9102,0.0,0.004834102395078005
BA,0,1424,12641,0.0,0.11264931571869315
BB,0,0,319,0.0,0.0
BD,0,2241,44627,0.0,0.050216236807313956
BE,159,3011,154674,0.0010269128674119858,0.020473671633308144
BF,0,22,2003,0.0,0.010983524712930605
BG,0,1191,41673,0.0,0.028579655892304368
BH,0,20,694,0.0,0.02881844380403458
BI,0,1062,11041,0.0,0.09618693958880536
BJ,0,1839,118470,0.0,0.015522917194226386
BM,0,0,97,0.0,0.0
BN,0,4,517,0.0,0.007736943907156673
BO,0,67,9408,0.0,0.007121598639455782
BQ,0,0,1,0.0,0.0
BR,0,650763,3868894,0.0,0.16820388462439137
BS,0,12,567,0.0,0.021164021164021163
BT,0,0,106,0.0,0.0
BW,0,2206,6690,0.0,0.329745889387145
BY,0,168942,446934,0.0,0.3780021211185544
BZ,0,11,329,0.0,0.03343465045592705
CA,0,457053,1830192,0.0,0.24972953657321198
CD,0,3,909,0.0,0.0033003300330033004
CF,0,0,57,0.0,0.0
CG,0,2,349,0.0,0.0057306590257879654
CH,0,32520,556832,0.0,0.05840181598758692
CI,0,28,2156,0.0,0.012987012987012988
CL,0,51574,176066,0.0,0.2929242443174719
CM,0,619,10249,0.0,0.06039613620841058
CN,0,22488,94178,0.0,0.2387818811187326
CO,0,864,38709,0.0,0.02232039060683562
CR,0,54,3757,0.0,0.014373170082512644
CU,0,707,18692,0.0,0.037823667879306654
CV,0,1,569,0.0,0.0017574692442882249
CW,0,0,344,0.0,0.0
CY,0,405,4184,0.0,0.09679732313575526
CZ,0,3000,49262,0.0,0.060898867281068574
DE,0,427834,2545533,0.0,0.1680724626237413
DJ,0,18,742,0.0,0.02425876010781671
DK,3,4921,74760,4.0126800690180975e-05,0.06586145553281704
DM,0,0,50,0.0,0.0
DO,0,33,5820,0.0,0.005670103092783505
DZ,0,797,80994,0.0,0.009840235079141665
EC,0,2814,168276,0.0,0.016722527276616987
EE,0,4361,21340,0.0,0.2043580131208997
EG,0,130291,469987,0.0,0.27722256147510466
ER,0,0,8,0.0,0.0
ES,0,18521,692641,0.0,0.026739681884266165
ET,0,4652,90055,0.0,0.05165732052634501
EU,0,1737,57079,0.0,0.0304315072093064
FI,0,5075,491897,0.0,0.010317200552148112
FJ,0,0,517,0.0,0.0
FM,0,0,24,0.0,0.0
FO,0,0,4,0.0,0.0
FR,0,258426,1821288,0.0,0.14189189189189189
GA,0,5,1385,0.0,0.0036101083032490976
GB,240,46598,1657574,0.00014476895478021058,0.028252867933314593
GD,0,0,23,0.0,0.0
GE,0,45,4351,0.0,0.010342450011491611
GF,0,0,37,0.0,0.0
GG,0,1,31,0.0,0.03225806451612903
GH,0,8,812,0.0,0.009852216748768473
GI,0,2,52,0.0,0.038461538461538464
GL,0,9,170,0.0,0.052941176470588235
GM,0,4,384,0.0,0.010416666666666666
GN,0,11,1238,0.0,0.008885298869143781
GP,0,0,251,0.0,0.0
GQ,0,0,339,0.0,0.0
GR,494,4274,399325,0.001235559090488446,0.011925396241799413
GT,0,40,3557,0.0,0.011245431543435479
GU,0,10,214,0.0,0.04672897196261682
GW,0,0,328,0.0,0.0
GY,0,3,572,0.0,0.005244755244755245
HK,0,8297,293307,0.0,0.02828776674269622
HN,0,374,9883,0.0,0.03784276029545684
HR,0,2457,189129,0.0,0.012991133036181653
HT,0,3,2131,0.0,0.0014077897700610043
HU,0,429,14184,0.0,0.030245346869712354
ID,0,114273,384219,0.0,0.2974163172565646
IE,0,53360,3528056,0.0,0.015124476482232708
IL,0,456,12903,0.0,0.035340618460823064
IM,0,21,896,0.0,0.0234375
IN,13145,330124,1245782,0.010441431472992476,0.2726679148195249
IO,0,0,4,0.0,0.0
IQ,0,3853,81842,0.0,0.047078517142787324
IR,15504,37274,272304,0.05386924616410941,0.18337919724260618
IS,0,736,70976,0.0,0.010369702434625788
IT,115,87212,1028768,0.00011177169804535599,0.08487553978440697
JE,0,0,4,0.0,0.0
JM,0,6,644,0.0,0.009316770186335404
JO,0,4673,46209,0.0,0.10112748598757818
JP,0,6800,204273,0.0,0.03328878510620591
KE,0,7518,369948,0.0,0.02032177495215544
KG,0,13,2576,0.0,0.005046583850931677
KH,0,12347,189307,0.0,0.06522209955257861
KI,0,0,19,0.0,0.0
KM,0,0,176,0.0,0.0
KN,0,3,68,0.0,0.04411764705882353
KR,512,53734,924489,0.0005535129151211729,0.05864426092512332
KW,0,534,4425,0.0,0.12067796610169491
KY,0,10,413,0.0,0.024213075060532687
KZ,0,1292,24664,0.0,0.052384041518001946
LA,0,21,1259,0.0,0.016679904686258934
LB,0,1988,20564,0.0,0.09667379887181482
LC,0,0,20,0.0,0.0
LI,0,2,331,0.0,0.006042296072507553
LK,0,135,3388,0.0,0.03984651711924439
LR,0,82,613,0.0,0.13376835236541598
LS,0,724,35905,0.0,0.020164322517755188
LT,0,156,5075,0.0,0.030738916256157635
LU,0,311,8634,0.0,0.03602038452629141
LV,0,306,12561,0.0,0.024361117745402436
LY,0,156,9562,0.0,0.016314578540054383
MA,0,1086,97469,0.0,0.011142004124388268
MC,0,0,130,0.0,0.0
MD,0,161,5573,0.0,0.028889287636820384
ME,0,383,4898,0.0,0.0781951817068191
MF,0,0,5,0.0,0.0
MG,0,33,1486,0.0,0.02220726783310902
MH,0,0,54,0.0,0.0
MK,0,42,1899,0.0,0.022116903633491312
ML,0,6175,404802,0.0,0.015254371272869206
MM,0,34,1075,0.0,0.03162790697674418
MN,0,4,619,0.0,0.006462035541195477
MO,0,8,514,0.0,0.01556420233463035
MQ,0,8,150,0.0,0.05333333333333334
MR,0,26,2177,0.0,0.011943040881947635
MS,0,2,41,0.0,0.04878048780487805
MT,0,30,1015,0.0,0.029556650246305417
MU,0,4964,94326,0.0,0.05262599919428365
MV,0,20,987,0.0,0.020263424518743668
MW,0,9,241,0.0,0.03734439834024896
MX,0,9403,501115,0.0,0.018764155932271036
MY,2906,9037,289217,0.009947864426970831,0.04088346347257833
MZ,0,6,4772,0.0,0.0012573344509639564
NC,0,0,184,0.0,0.0
NE,0,0,1524,0.0,0.0
NG,0,15814,309721,0.0,0.051058856196383194
NI,0,230,4739,0.0,0.0485334458746571
NL,0,313423,903163,0.0,0.3470281665657251
NO,2,84527,298406,6.702233184096941e-06,0.2832665344092652
NP,0,216,6692,0.0,0.032277346084877465
NR,0,0,12,0.0,0.0
NZ,0,225,11645,0.0,0.019321597252039503
OM,0,126,4450,0.0,0.028314606741573035
PA,0,611,14911,0.0,0.04097646033129904
PE,0,249,12096,0.0,0.02058531746031746
PF,0,3,307,0.0,0.009771986970684038
PG,0,43,258,0.0,0.16666666666666666
PH,0,790,77577,0.0,0.0101834306559934
PK,0,108415,1005441,0.0,0.10782830618604175
PL,0,107729,403656,0.0,0.2668831876647442
PM,0,0,33,0.0,0.0
PR,0,33,1991,0.0,0.016574585635359115
PS,0,136,3638,0.0,0.037383177570093455
PT,1191,6172,352485,0.003367488888134903,0.02081848923873828
PW,0,0,37,0.0,0.0
PY,0,11,2296,0.0,0.004790940766550522
QA,13,253,5390,0.0024060707014621507,0.04923190819914862
RE,0,22383,48855,0.0,0.4581516733190052
RO,3002,11153,361511,0.00823564591660654,0.03883263422703717
RS,0,54,4017,0.0,0.01344286781179985
RU,797889,2885151,24399755,0.031665222351740505,0.14616604631766367
RW,0,3,390,0.0,0.007692307692307693
SA,2243,3535,29165,0.07141492613346918,0.18396586856851757
SB,0,0,62,0.0,0.0
SC,0,68,1794,0.0,0.0379041248606466
SD,0,392,14505,0.0,0.027025163736642537
SE,0,22182,712299,0.0,0.03114141673651093
SG,0,5775,114628,0.0,0.050380360819346055
SI,0,504,18694,0.0,0.026960522092650048
SK,0,164,6710,0.0,0.02444113263785395
SL,0,2,332,0.0,0.006024096385542169
SN,0,197,15553,0.0,0.012666366617372854
SO,0,7,1768,0.0,0.003959276018099547
SR,0,3,302,0.0,0.009933774834437087
SS,0,0,196,0.0,0.0
ST,0,0,160,0.0,0.0
SV,0,15,2247,0.0,0.006675567423230975
SX,0,0,41,0.0,0.0
SY,0,273,11182,0.0,0.024414237166875335
SZ,0,4,136,0.0,0.029411764705882353
TC,0,0,22,0.0,0.0
TD,0,7,510,0.0,0.013725490196078431
TG,0,0,1228,0.0,0.0
TH,0,26857,514126,0.0,0.052238167297510726
TJ,0,17,1471,0.0,0.011556764106050306
TL,0,2,249,0.0,0.008032128514056224
TM,0,309,8159,0.0,0.0378722882706214
TN,0,770,69332,0.0,0.01110598280736168
TO,0,0,6,0.0,0.0
TR,0,5647,197157,0.0,0.02864214813574968
TT,0,18,653,0.0,0.027565084226646247
TW,0,23363,1357434,0.0,0.017211149860693043
TZ,0,598,35967,0.0,0.016626351933717018
UA,0,1227714,1812228,0.0,0.6774611141644429
UG,0,5824,198166,0.0,0.029389501730872097
US,0,1172228,11748667,0.0,0.09977540430756954
UY,0,34,2894,0.0,0.011748445058742226
UZ,0,179,10979,0.0,0.016303852809909827
VA,0,0,34,0.0,0.0
VC,0,0,30,0.0,0.0
VE,0,16478,297113,0.0,0.05546038039399151
VG,0,0,166,0.0,0.0
VI,0,0,41,0.0,0.0
VN,0,385,8522,0.0,0.045177188453414695
VU,0,3,390,0.0,0.007692307692307693
WF,0,0,13,0.0,0.0
WS,0,0,60,0.0,0.0
YE,0,251,14554,0.0,0.017246117905730385
YT,0,0,14,0.0,0.0
ZA,0,9925,409030,0.0,0.024264723858885655
ZM,0,3520,133815,0.0,0.026304973284011508
ZW,0,11809,229815,0.0,0.05138480952070144
ZZ,0,351254,4263475,0.0,0.08238678542738025
